GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
1.85,1.54,1.62,AGRI,2,26-MAR-18,619.357,PA,2018/2005(INI),INIT,INI,AVI,AGRI,AGRI
60.6,25.18,27.81,DG1-DEPOT,1,12-OCT-18,622.206,RR,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
1.23,1.1,1.1,ECR,1,29-MAY-18,622.206,DV,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
45.0,17.52,19.48,DG1-DEPOT,1,03-MAY-18,615.434,RR,2017/2259(INI),IMPL,INI,MAIN,CULT,CULT
13.75,9.75,10.35,EMPL,4,01-FEB-18,616.742,AD,2017/2259(INI),IMPL,INI,AVI,EMPL,EMPL
1.28,1.04,1.1,EMPL,1,01-FEB-18,616.742,PA,2017/2259(INI),IMPL,INI,AVI,EMPL,EMPL
15.95,13.36,14.05,CULT,3,31-JAN-18,615.434,PR,2017/2259(INI),IMPL,INI,MAIN,CULT,CULT
78.08,39.1,39.1,CULT,4,07-MAR-18,619.165,AM,2017/2259(INI),IMPL,INI,MAIN,CULT,CULT
38.67,25.38,25.38,EMPL,4,27-FEB-18,618.158,AM,2017/2259(INI),IMPL,INI,AVI,EMPL,EMPL
1.11,0.98,0.98,ECR,2,16-APR-18,620.826,NR,2017/2259(INI),IMPL,INI,MAIN,BUDG,BUDG
12.48,6.72,6.72,ECON,2,11-APR-18,619.409,PR,2017/0358(COD),LEG,COD,MAIN,ECON,ECON
83.99,37.85,37.85,ECON,3,04-JUN-18,623.597,AM,2017/0358(COD),LEG,COD,MAIN,ECON,ECON
16.67,5.89,5.89,JURI,3,27-APR-18,621.063,PA,2017/0358(COD),LEG,COD,AVI,JURI,JURI
32.32,8.86,8.86,JURI,2,27-APR-18,621.063,AD,2017/0358(COD),LEG,COD,AVI,JURI,JURI
122.76,35.32,115.22,DG1-DEPOT,3,27-SEP-18,619.409,RR,2017/0358(COD),LEG,COD,MAIN,ECON,ECON
139.64,60.39,60.9,ENVI,2,29-MAY-18,622.27,AM,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
20.72,5.69,9.88,TRAN,3,12-JUN-18,622.314,AM,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
17.67,10.7,10.7,TRAN,2,12-APR-18,618.318,PA,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
18.11,9.89,9.88,ENVI,2,13-APR-18,620.815,PR,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
36.68,12.99,12.99,ENVI,3,29-MAY-18,622.186,AM,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
116.54,52.42,50.37,TRAN,5,11-JUN-18,623.692,AM,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
34.34,21.34,21.34,ITRE,5,10-APR-18,620.803,PA,2017/0291(COD),LEG,COD,AVI,ITRE,ITRE
36.36,13.81,13.81,TRAN,6,12-APR-18,618.318,AD,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
60.26,26.33,26.33,ITRE,3,04-MAY-18,620.925,AM,2017/0291(COD),LEG,COD,AVI,ITRE,ITRE
79.99,24.5,24.5,DG1-DEPOT,2,11-OCT-18,620.815,RR,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
1.26,0.92,0.93,PPE,1,13-APR-18,620.815,NR,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
9.09,6.13,6.13,JURI,2,07-MAR-19,636.307,AL,2017/0291(COD),LEG,COD,OLB,JURI,JURI
